"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","family","country","cluster","stimulus_path","accuracy"
"pavlovia-init","pavlovia","0","1105","0.0-0.0","90863","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","browser-check","1","2101","0.0-1.0","90863","","1337","678","true","safari","17.1.0","false","Mac OS","true","60.61","true","true","","","","","","","","","","","","",""
"consent","html-button-response","2","13872","0.0-2.0","90863","","","","","","","","","","","","","11769","
    <div style=""font-size: 80%; max-width:700px"">
        <h2>Informed Consent</h2><br>
    
        <div style=""text-align: left"">
        <h3>Streetscape Perceptions</h3>
        <b>HUM00189138</b>
        <br><hr>
    
        <h4>DESCRIPTION</h4>
        <p>
        In this study, you will view Google Street View images. You will then answer questions about your impressions of the streetscapes presented in those images.

        </p><br>
    
        <h4>TIME INVOLVEMENT</h4>
        <p>Your participation will take approximately 30 minutes.</p><br>
    
        <h4>RISKS AND BENEFITS</h4>
        <p>
        The risks associated with this study are minimal. The benefits which may reasonably be expected to result from this study are none.  We cannot and do not guarantee or promise that you will receive any benefits from this study.  
        </p><br>

        <h4>PAYMENTS</h4>
        <p>You will receive .5 credit  for your participation.</p><br>

        <h4>SUBJECT'S RIGHTS</h4>
        <p>
        If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  
        </p>
    
        <p>
        Your individual privacy will be maintained in all published and written data resulting from the study. Your responses will be kept confidential: you are given a participant code, and no one, not even the research team, can match that code with your identity. Your collected information may also be shared with other researchers as part of our dataset.
        </p><br>
    
        <h4>CONTACT INFORMATION</h4>
        <p>
        Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Nicholas Camp, npcamp@umich.edu, (443) 851-6783.
        </p>
    
        <p>
        If you have questions about your rights as a research participant, or wish to obtain information, ask questions or discuss any concerns about this study with someone other than the researcher(s), please contact the following:
        <br><br>
    
        University of Michigan<br>
        Health Sciences and Behavioral Sciences Institutional Review Board
        (IRB-HSBS)<br>
        2800 Plymouth Road <br>
        Building 520, Room 1169 <br>
        Ann Arbor, MI 48109-2800 <br>
        Telephone: 734-936-0933 or toll free (866) 936-0933 <br>
        Fax: 734-936-1852 <br />
        E-mail: irbhsbs@umich.edu <br>
        </p>
    
        <p>
        You can also contact the University of Michigan Compliance Hotline at 1-866-990-0111. You may also print this consent form to keep.
        </p>
        <br>
    
        <div class=""alert alert-warning""><b>
        Do you consent to participate in this study? If you consent to participate in this study, please click “yes”. If you select ""no"", you will be directed out of the survey.

        </b></div>
        </div>
    </div>
","1","","","","","","","","","",""
"","preload","3","19713","0.0-3.0","90863","","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","",""
"","preload","4","36311","0.0-4.0","90863","","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","",""
"instructions","html-button-response","5","58735","0.0-5.0","90863","","","","","","","","","","","","","22423","
<div class=""text-container"">
    <h1>Welcome to the study!</h1>
    <div class=""text-left"">
        <p>
            In this study, we are interested in how people think about different Google Street View images. Google Street View takes pictures of streets used for Google Earth and Google Maps. You’ll see Google Street View images of different places and answer some questions about each one.
        </p>
    </div>
    <img src = ""assets/img/example.png"" width = 500px, height = auto>
    <br>
<br>
","0","","","","","","","","","",""
"instructions","html-button-response","6","100885","0.0-6.0","90863","","","","","","","","","","","","","42148","
        <style>
            img.small {
            max-width: 100px;
            }
            li {
            text-indent: 40px;
            }
        </style>

        <div class=""text-container text-left"">
            <p>For each picture, we’d like your impressions of the scene:</p>
            <hr>
            Are there <b>clear, distinct boundaries</b> between objects in the scene, or are the <b>boundaries ambiguous or unclear</b>?
            <li>clear, distinct boundaries: <img class=""small"" src=""assets/img/ambiguous-low.png""></li>
            <li>ambiguous or unclear boundaries: <img class=""small"" src=""assets/img/ambiguous-high.png""></li>
            <hr>
            <br>
            Are there <b>only a few different objects</b> in the scene, or is there <b>a large number</b>?
            <br><br>
            <hr>
            Are only <b>a few parts</b> of the scene <b>invisible or obscured</b>, or are <b>many parts invisible or obscured</b>?    
            <li>a few parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-low.png""></li>
            <li>many parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-high.png""></li>
            <hr>
            <br>
            Does the scene look <b>organized</b> or <b>chaotic</b> to you?
            <br><br>
            <hr>
            <p>
            There are no right or wrong answers: we are interested in <b>your</b> impression. Note that some images might have individual buildings or faces blurred for privacy. Please ignore these when making your judgments.
            </p>
        </div>
        <br>
","0","","","","","","","","","",""
"","html-button-response","7","104718","0.0-7.0","90863","","","","","","","","","","","","","3830","<div class=""text-container""><h3>On the next page, you will view a few Google Streetview images taken at random from a single neighborhood.</h3><br></div>","0","","","","","","","","","",""
"","html-button-response","8","105885","0.0-8.0","90863","","","","","","","","","","","","","1165","<div class=""text-container""><h3>Click next to see the next neighborhood.</h3></div><br>","0","","","","","","","","","",""
"street view slide show","image-button-response","9","106893","0.0-9.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_1_2.jpg","null","","","","","","8","","1","./stim/Pau_France_8_1_8/Pau___France_1_2.jpg",""
"street view slide show","image-button-response","10","107901","0.0-10.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_1_1.jpg","null","","","","","","8","","1","./stim/Pau_France_8_1_8/Pau___France_1_1.jpg",""
"street view slide show","image-button-response","11","108908","0.0-11.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_1_3.jpg","null","","","","","","8","","1","./stim/Pau_France_8_1_8/Pau___France_1_3.jpg",""
"street view slide show","image-button-response","12","109918","0.0-12.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_1_5.jpg","null","","","","","","8","","1","./stim/Pau_France_8_1_8/Pau___France_1_5.jpg",""
"street view slide show","image-button-response","13","110927","0.0-13.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_1_4.jpg","null","","","","","","8","","1","./stim/Pau_France_8_1_8/Pau___France_1_4.jpg",""
"sv response","survey","14","189197","0.0-14.0","90863","","","","","","","","","","","","","78201","","{""prompt"":null,""ambiguous"":2,""objects"":2,""invisible"":4,""chaos"":4,""complex"":2}","","","","","","","","","","[]"
"","html-button-response","15","190918","0.0-15.0","90863","","","","","","","","","","","","","1719","<div class=""text-container""><h3>Click next to see the next neighborhood.</h3></div><br>","0","","","","","","","","","",""
"street view slide show","image-button-response","16","191926","0.0-16.0","90863","","","","","","","","","","","","","null","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_3.jpg","null","","","","","","7","","8","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_3.jpg",""
"street view slide show","image-button-response","17","192934","0.0-17.0","90863","","","","","","","","","","","","","null","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_1.jpg","null","","","","","","7","","8","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_1.jpg",""
"street view slide show","image-button-response","18","193942","0.0-18.0","90863","","","","","","","","","","","","","null","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_5.jpg","null","","","","","","7","","8","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_5.jpg",""
"street view slide show","image-button-response","19","194951","0.0-19.0","90863","","","","","","","","","","","","","null","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_4.jpg","null","","","","","","7","","8","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_4.jpg",""
"street view slide show","image-button-response","20","195962","0.0-20.0","90863","","","","","","","","","","","","","null","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_2.jpg","null","","","","","","7","","8","./stim/Manila_Philippines_8_1_8/Manila___Philippines_8_2.jpg",""
"sv response","survey","21","256069","0.0-21.0","90863","","","","","","","","","","","","","60079","","{""prompt"":null,""ambiguous"":4,""objects"":4,""invisible"":2,""chaos"":3,""complex"":2}","","","","","","","","","","[]"
"","html-button-response","22","257950","0.0-22.0","90863","","","","","","","","","","","","","1880","<div class=""text-container""><h3>Click next to see the next neighborhood.</h3></div><br>","0","","","","","","","","","",""
"street view slide show","image-button-response","23","258959","0.0-23.0","90863","","","","","","","","","","","","","null","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_5.jpg","null","","","","","","8","","4","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_5.jpg",""
"street view slide show","image-button-response","24","259967","0.0-24.0","90863","","","","","","","","","","","","","null","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_2.jpg","null","","","","","","8","","4","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_2.jpg",""
"street view slide show","image-button-response","25","260976","0.0-25.0","90863","","","","","","","","","","","","","null","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_3.jpg","null","","","","","","8","","4","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_3.jpg",""
"street view slide show","image-button-response","26","261983","0.0-26.0","90863","","","","","","","","","","","","","null","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_4.jpg","null","","","","","","8","","4","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_4.jpg",""
"street view slide show","image-button-response","27","262991","0.0-27.0","90863","","","","","","","","","","","","","null","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_1.jpg","null","","","","","","8","","4","./stim/SaintEtienne_France_8_1_8/Saint_Etienne___France_4_1.jpg",""
"sv response","survey","28","306027","0.0-28.0","90863","","","","","","","","","","","","","43007","","{""prompt"":null,""ambiguous"":2,""objects"":1,""invisible"":2,""chaos"":1,""complex"":1}","","","","","","","","","","[]"
"","html-button-response","29","307748","0.0-29.0","90863","","","","","","","","","","","","","1719","<div class=""text-container""><h3>Click next to see the next neighborhood.</h3></div><br>","0","","","","","","","","","",""
"street view slide show","image-button-response","30","308753","0.0-30.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_3_4.jpg","null","","","","","","8","","3","./stim/Pau_France_8_1_8/Pau___France_3_4.jpg",""
"street view slide show","image-button-response","31","309761","0.0-31.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_3_3.jpg","null","","","","","","8","","3","./stim/Pau_France_8_1_8/Pau___France_3_3.jpg",""
"street view slide show","image-button-response","32","310767","0.0-32.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_3_7.jpg","null","","","","","","8","","3","./stim/Pau_France_8_1_8/Pau___France_3_7.jpg",""
"street view slide show","image-button-response","33","311774","0.0-33.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_3_5.jpg","null","","","","","","8","","3","./stim/Pau_France_8_1_8/Pau___France_3_5.jpg",""
"street view slide show","image-button-response","34","312780","0.0-34.0","90863","","","","","","","","","","","","","null","./stim/Pau_France_8_1_8/Pau___France_3_1.jpg","null","","","","","","8","","3","./stim/Pau_France_8_1_8/Pau___France_3_1.jpg",""
