"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","family","country","cluster","stimulus_path","accuracy"
"pavlovia-init","pavlovia","0","1433","0.0-0.0","89866","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","browser-check","1","2441","0.0-1.0","89866","","1470","832","true","chrome","133.0.0","false","Mac OS","true","59.9","true","true","","","","","","","","","","","","",""
"consent","html-button-response","2","7890","0.0-2.0","89866","","","","","","","","","","","","","5447","
    <div style=""font-size: 80%; max-width:700px"">
        <h2>Informed Consent</h2><br>
    
        <div style=""text-align: left"">
        <h3>Streetscape Perceptions</h3>
        <b>HUM00189138</b>
        <br><hr>
    
        <h4>DESCRIPTION</h4>
        <p>
        In this study, you will view Google Street View images. You will then answer questions about your impressions of the streetscapes presented in those images.

        </p><br>
    
        <h4>TIME INVOLVEMENT</h4>
        <p>Your participation will take approximately 30 minutes.</p><br>
    
        <h4>RISKS AND BENEFITS</h4>
        <p>
        The risks associated with this study are minimal. The benefits which may reasonably be expected to result from this study are none.  We cannot and do not guarantee or promise that you will receive any benefits from this study.  
        </p><br>

        <h4>PAYMENTS</h4>
        <p>You will receive .5 credit  for your participation.</p><br>

        <h4>SUBJECT'S RIGHTS</h4>
        <p>
        If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  
        </p>
    
        <p>
        Your individual privacy will be maintained in all published and written data resulting from the study. Your responses will be kept confidential: you are given a participant code, and no one, not even the research team, can match that code with your identity. Your collected information may also be shared with other researchers as part of our dataset.
        </p><br>
    
        <h4>CONTACT INFORMATION</h4>
        <p>
        Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Nicholas Camp, npcamp@umich.edu, (443) 851-6783.
        </p>
    
        <p>
        If you have questions about your rights as a research participant, or wish to obtain information, ask questions or discuss any concerns about this study with someone other than the researcher(s), please contact the following:
        <br><br>
    
        University of Michigan<br>
        Health Sciences and Behavioral Sciences Institutional Review Board
        (IRB-HSBS)<br>
        2800 Plymouth Road <br>
        Building 520, Room 1169 <br>
        Ann Arbor, MI 48109-2800 <br>
        Telephone: 734-936-0933 or toll free (866) 936-0933 <br>
        Fax: 734-936-1852 <br />
        E-mail: irbhsbs@umich.edu <br>
        </p>
    
        <p>
        You can also contact the University of Michigan Compliance Hotline at 1-866-990-0111. You may also print this consent form to keep.
        </p>
        <br>
    
        <div class=""alert alert-warning""><b>
        Do you consent to participate in this study? If you consent to participate in this study, please click “yes”. If you select ""no"", you will be directed out of the survey.

        </b></div>
        </div>
    </div>
","1","","","","","","","","","",""
"","preload","3","10728","0.0-3.0","89866","","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","",""
"","preload","4","17741","0.0-4.0","89866","","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","",""
"instructions","html-button-response","5","19961","0.0-5.0","89866","","","","","","","","","","","","","2219","
<div class=""text-container"">
    <h1>Welcome to the study!</h1>
    <div class=""text-left"">
        <p>
            In this study, we are interested in how people think about different Google Street View images. Google Street View takes pictures of streets used for Google Earth and Google Maps. You’ll see Google Street View images of different places and answer some questions about each one.
        </p>
    </div>
    <img src = ""assets/img/example.png"" width = 500px, height = auto>
    <br>
<br>
","0","","","","","","","","","",""
"instructions","html-button-response","6","25330","0.0-6.0","89866","","","","","","","","","","","","","5366","
        <style>
            img.small {
            max-width: 100px;
            }
            li {
            text-indent: 40px;
            }
        </style>

        <div class=""text-container text-left"">
            <p>For each picture, we’d like your impressions of the scene:</p>
            <hr>
            Are there <b>clear, distinct boundaries</b> between objects in the scene, or are the <b>boundaries ambiguous or unclear</b>?
            <li>clear, distinct boundaries: <img class=""small"" src=""assets/img/ambiguous-low.png""></li>
            <li>ambiguous or unclear boundaries: <img class=""small"" src=""assets/img/ambiguous-high.png""></li>
            <hr>
            <br>
            Are there <b>only a few different objects</b> in the scene, or is there <b>a large number</b>?
            <br><br>
            <hr>
            Are only <b>a few parts</b> of the scene <b>invisible or obscured</b>, or are <b>many parts invisible or obscured</b>?    
            <li>a few parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-low.png""></li>
            <li>many parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-high.png""></li>
            <hr>
            <br>
            Does the scene look <b>organized</b> or <b>chaotic</b> to you?
            <br><br>
            <hr>
            <p>
            There are no right or wrong answers: we are interested in <b>your</b> impression. Note that some images might have individual buildings or faces blurred for privacy. Please ignore these when making your judgments.
            </p>
        </div>
        <br>
","0","","","","","","","","","",""
"","html-button-response","7","27814","0.0-7.0","89866","","","","","","","","","","","","","2482","<div class=""text-container""><h3>On the next page, you will view a few Google Streetview images taken at random from a single neighborhood.</h3><br></div>","0","","","","","","","","","",""
"","html-button-response","8","28639","0.0-8.0","89866","","","","","","","","","","","","","822","<div class=""text-container""><h3>Click next to see the next neighborhood.</h3></div><br>","0","","","","","","","","","",""
"street view slide show","image-button-response","9","29644","0.0-9.0","89866","","","","","","","","","","","","","null","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_1.jpg","null","","","","","","20","","7","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_1.jpg",""
"street view slide show","image-button-response","10","30648","0.0-10.0","89866","","","","","","","","","","","","","null","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_3.jpg","null","","","","","","20","","7","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_3.jpg",""
"street view slide show","image-button-response","11","31651","0.0-11.0","89866","","","","","","","","","","","","","null","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_2.jpg","null","","","","","","20","","7","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_2.jpg",""
"street view slide show","image-button-response","12","32655","0.0-12.0","89866","","","","","","","","","","","","","null","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_4.jpg","null","","","","","","20","","7","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_4.jpg",""
"street view slide show","image-button-response","13","33658","0.0-13.0","89866","","","","","","","","","","","","","null","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_5.jpg","null","","","","","","20","","7","./stim/Kitakyushu_Japan_8_1_8/Kitakyushu___Japan_7_5.jpg",""
"sv response","survey","14","40870","0.0-14.0","89866","","","","","","","","","","","","","7159","","{""prompt"":null,""ambiguous"":4,""objects"":4,""invisible"":3,""chaos"":4,""complex"":2}","","","","","","","","","","[]"
"","html-button-response","15","41826","0.0-15.0","89866","","","","","","","","","","","","","955","<div class=""text-container""><h3>Click next to see the next neighborhood.</h3></div><br>","0","","","","","","","","","",""
"street view slide show","image-button-response","16","42829","0.0-16.0","89866","","","","","","","","","","","","","null","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_3.jpg","null","","","","","","20","","4","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_3.jpg",""
"street view slide show","image-button-response","17","43832","0.0-17.0","89866","","","","","","","","","","","","","null","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_1.jpg","null","","","","","","20","","4","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_1.jpg",""
"street view slide show","image-button-response","18","44836","0.0-18.0","89866","","","","","","","","","","","","","null","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_2.jpg","null","","","","","","20","","4","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_2.jpg",""
"street view slide show","image-button-response","19","45839","0.0-19.0","89866","","","","","","","","","","","","","null","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_5.jpg","null","","","","","","20","","4","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_5.jpg",""
"street view slide show","image-button-response","20","46843","0.0-20.0","89866","","","","","","","","","","","","","null","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_4.jpg","null","","","","","","20","","4","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_4_4.jpg",""
"sv response","survey","21","62998","0.0-21.0","89866","","","","","","","","","","","","","16135","","{""prompt"":null,""ambiguous"":3,""objects"":4,""invisible"":3,""chaos"":4,""complex"":3}","","","","","","","","","","[]"
"","html-button-response","22","63986","0.0-22.0","89866","","","","","","","","","","","","","987","<div class=""text-container""><h3>Click next to see the next neighborhood.</h3></div><br>","0","","","","","","","","","",""
"street view slide show","image-button-response","23","64990","0.0-23.0","89866","","","","","","","","","","","","","null","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_3.jpg","null","","","","","","7","","3","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_3.jpg",""
"street view slide show","image-button-response","24","65993","0.0-24.0","89866","","","","","","","","","","","","","null","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_5.jpg","null","","","","","","7","","3","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_5.jpg",""
"street view slide show","image-button-response","25","66996","0.0-25.0","89866","","","","","","","","","","","","","null","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_2.jpg","null","","","","","","7","","3","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_2.jpg",""
"street view slide show","image-button-response","26","67999","0.0-26.0","89866","","","","","","","","","","","","","null","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_4.jpg","null","","","","","","7","","3","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_4.jpg",""
"street view slide show","image-button-response","27","69002","0.0-27.0","89866","","","","","","","","","","","","","null","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_1.jpg","null","","","","","","7","","3","./stim/Volgograd_Russia_8_1_8/Volgograd___Russia_3_1.jpg",""
"sv response","survey","28","74289","0.0-28.0","89866","","","","","","","","","","","","","5268","","{""prompt"":null,""ambiguous"":3,""objects"":4,""invisible"":3,""chaos"":3,""complex"":3}","","","","","","","","","","[]"
"","html-button-response","29","75501","0.0-29.0","89866","","","","","","","","","","","","","1210","<div class=""text-container""><h3>Click next to see the next neighborhood.</h3></div><br>","0","","","","","","","","","",""
"street view slide show","image-button-response","30","76504","0.0-30.0","89866","","","","","","","","","","","","","null","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_1_3.jpg","null","","","","","","20","","1","./stim/Norfolk_Virginia_8_1_8/Norfolk___Virginia_1_3.jpg",""
